"","id","catholic","race_white","race_black","race_hispanic","race_asian","places_lived","m_age","f_age","f_ed","m_ed","m_prestige","f_prestige","fam_income","poverty","fstamp","math_score"
"281","0034006C",0,0,1,0,0,1,35,43,0,0,34.95,52.54,45000.5,0,0,48.805
"282","0034009C",0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52.427
"283","0034012C",0,0,0,0,0,1,31,NA,NA,0,38.18,NA,5000,1,0,43.684
"284","0034015C",0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.76
"285","0034016C",0,0,0,1,0,1,33,NA,NA,1,38.18,NA,32500.5,0,0,56.808
"286","0034017C",0,0,0,0,0,1,63,NA,NA,1,NA,NA,5000,1,0,27.843
"287","0034018C",0,0,1,0,0,1,44,NA,NA,1,38.18,NA,12500.5,1,1,30.862
"288","0034023C",0,1,0,0,0,NA,32,NA,NA,1,38.18,NA,12500.5,1,NA,47.51
"289","0036001C",0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.775
"290","0036004C",0,0,0,1,0,NA,35,NA,NA,1,34.95,NA,17500.5,1,0,65.557
"291","0036007C",0,1,0,0,0,1,36,35,1,0,38.18,38.18,27500.5,0,0,55.043
"292","0036008C",0,1,0,0,0,1,40,42,0,1,NA,38.18,45000.5,0,0,59.559
"293","0036010C",0,0,1,0,0,1,30,NA,NA,1,35.78,NA,5000,1,1,41.996
"294","0036011C",0,1,0,0,0,1,NA,33,0,NA,NA,33.42,45000.5,0,0,34.302
"295","0036012C",0,1,0,0,0,1,30,NA,NA,1,NA,NA,12500.5,1,1,47.115
"296","0036013C",1,1,0,0,0,1,41,40,0,0,52.54,48.69,27500.5,0,0,35.391
"297","0036014C",0,1,0,0,0,1,43,44,1,1,35.92,39.18,87500.5,0,0,71.211
"298","0036016C",0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57.565
"299","0036017C",0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62.286
"300","0036019C",0,0,1,0,0,2,27,36,1,0,NA,NA,7500.5,1,1,16.33
"301","0036021C",0,1,0,0,0,1,32,NA,NA,1,34.95,NA,5000,1,1,48.499
"302","0036022C",0,0,0,1,0,1,33,34,1,1,NA,39.2,7500.5,1,1,32.012
"303","0036023C",0,1,0,0,0,1,43,NA,NA,1,38.18,NA,27500.5,0,0,54.39
"304","0036024C",0,1,0,0,0,1,46,44,1,1,NA,64.89,17500.5,1,1,34.609
"305","0036040C",0,0,0,1,0,NA,26,34,1,1,NA,35.63,7500.5,1,NA,62.851
"306","0037001C",0,0,0,0,1,1,46,50,1,1,35.78,NA,12500.5,1,0,53.211
"307","0037003C",0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.385
"308","0037004C",0,0,1,0,0,1,39,NA,NA,1,63.43,NA,17500.5,1,0,39.874
"309","0037005C",0,0,1,0,0,1,39,43,1,1,35.78,39.2,27500.5,1,0,50.574
"310","0037007C",0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.008
"311","0037008C",0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.707
"312","0037011C",0,1,0,0,0,1,38,36,1,1,35.78,39.2,27500.5,0,0,43.035
"313","0037012C",0,0,0,1,0,2,29,NA,NA,1,NA,NA,12500.5,1,0,48.92
"314","0037014C",0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.845
"315","0037016C",0,0,1,0,0,1,32,38,0,1,NA,39.18,17500.5,1,0,43.984
"316","0037018C",0,0,1,0,0,1,36,39,1,1,38.18,39.2,37500.5,0,0,49.306
"317","0037021C",0,0,1,0,0,1,27,NA,NA,0,NA,NA,7500.5,1,1,60.701
"318","0037023C",0,0,0,1,0,1,32,41,0,1,34.95,35.78,27500.5,0,0,49.775
"319","0037024C",0,0,0,1,0,1,38,NA,NA,0,34.95,NA,12500.5,1,0,44.589
"320","0037040C",0,0,1,0,0,1,35,NA,NA,1,34.95,NA,22500.5,0,0,44.188
"321","0037042C",0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.978
"322","0037043C",0,0,0,1,0,1,37,NA,NA,1,NA,NA,5000,1,1,41.994
"323","0037044C",0,0,1,0,0,2,39,NA,NA,1,38.18,NA,5000,1,0,44.994
"324","0038003C",0,0,0,1,0,2,39,NA,NA,0,NA,NA,12500.5,1,0,34.033
"325","0038004C",0,0,1,0,0,NA,37,38,0,0,NA,NA,22500.5,1,NA,61.631
"326","0038008C",0,0,0,1,0,1,31,NA,NA,1,34.95,NA,5000,1,0,43.1
"327","0038009C",0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.707
"328","0038010C",0,0,1,0,0,1,39,42,0,0,61.56,61.56,45000.5,0,0,39.868
